=== Autosave ===
Buffer entries: 100 / 1000

Tick: 60 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 61 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 62 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 63 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 64 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 65 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 66 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 67 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 68 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 69 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 70 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 71 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 72 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 73 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 74 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 75 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 76 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 77 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 78 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 79 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 80 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 81 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 82 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 83 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 84 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 85 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 86 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 87 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 88 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 89 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 90 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 91 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 92 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 93 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 94 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 95 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 96 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 97 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 98 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 99 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 100 | Agents: 5 | Avg Energy: 0.16 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
